BBIM01	BBIM02	BBIM03	BBIM04	BBIM05	BBIM06	BBIM07	BBIM08	BBIM09	BBIM10	BBIM11	BBIM12	BBIM13	BBIM14	BBIM15	BBIM16	BBIM17	BBIM18	BBIM19	BBIM20	BBIM21	BBIM22	BBIM23	BBIM24																																																
RT	Area	RA																																																																					
15.424	2893401.4	5.1041	15.13	708321.4	0.8255	15.132	484543.5	0.2836	15.118	2630.2	0.0022	15.397	1145877	1.1375	15.405	1579683.7	3.5033	15.125	315518.8	0.2024	15.112	4074.9	0.0065	15.433	3723234.8	3.7061	15.121	14023.4	0.0147	15.118	1924.6	0.0023	15.128	411496.3	0.3717	15.119	72243.3	0.0911	15.112	9018.4	0.0195	15.116	7162.6	0.0108	15.126	15673.4	0.0124	15.111	55415.9	0.0759	15.133	537926.8	0.2427	15.116	4994.8	0.0063	15.114	11551	0.0433	15.114	8972.9	0.0165	15.106	12420.8	0.063	15.106	13969.6	0.059	15.113	6416.9	0.0191
15.62	1420044.4	2.505	15.447	5499978.7	6.4101	15.49	12569002.4	7.3565	15.437	4507382.3	3.7472	15.601	596448.1	0.5921	15.602	568879.9	1.2616	15.459	7507707.5	4.8152	15.418	2389874.7	3.83	15.629	1936542.9	1.9276	15.447	5385822.4	5.6503	15.438	4431621.1	5.2696	15.447	5114271.4	4.6192	15.43	3231840.9	4.0741	15.409	1487566	3.2096	15.425	2641252.8	3.9814	15.462	6974617.8	5.5173	15.404	1024944.6	1.4043	15.499	13905412.7	6.2751	15.423	2480164.4	3.1154	15.415	1780746.2	6.6793	15.416	1986302	3.6592	15.387	232831.9	1.1808	15.382	15606.1	0.0659	15.414	1694813.9	5.045
15.751	7938.5	0.014	15.625	1679543.8	1.9575	15.673	5560757.8	3.2546	15.63	2139965.3	1.779	15.747	8446.3	0.0084	15.747	2111.3	0.0047	15.652	3910230.1	2.5079	15.612	1020157.6	1.6349	15.755	3020.5	0.003	15.619	1181920.3	1.24	15.623	1467266.4	1.7447	15.625	1446395	1.3064	15.629	1867868.9	2.3547	15.614	947803.1	2.045	15.621	1241513.3	1.8715	15.65	3255254.3	2.5751	15.602	234470.6	0.3213	15.671	5222550.3	2.3568	15.616	925734.6	1.1628	15.613	805292.2	3.0205	15.632	2111506.2	3.8899	15.599	247276.8	1.254	15.594	22506.1	0.095	15.609	613781	1.8271
16.073	994915	1.7551	15.756	3184.6	0.0037	15.767	11450.5	0.0067	15.753	9202	0.0076	16.111	4421852.7	4.3894	16.086	2050800.6	4.5481	15.759	25766.3	0.0165	15.75	10706.4	0.0172	16.139	7246843.3	7.2135	15.753	13749.2	0.0144	15.754	2830.3	0.0034	15.758	6834.7	0.0062	15.756	5147.7	0.0065	15.752	2872.8	0.0062	15.755	4158.8	0.0063	15.762	19069.2	0.0151	15.755	3617.5	0.005	16.162	13868111.3	6.2582	15.755	3875.9	0.0049	15.753	2131.9	0.008	15.755	3824.5	0.007	15.751	2835.9	0.0144	15.751	2863.6	0.0121	15.753	3220.6	0.0096
16.274	785365.7	1.3854	16.077	1259192.8	1.4676	16.091	2392981.3	1.4006	16.131	6356750.9	5.2846	16.305	3062038.4	3.0395	16.275	1058537.9	2.3476	16.13	6177014.3	3.9617	16.075	1115364.5	1.7875	16.313	3095085.1	3.0808	16.127	5668103.5	5.9465	16.152	9215407.1	10.958	16.133	6594124.5	5.9558	16.102	2768597.3	3.4901	16.079	1189686.5	2.5669	16.101	2685963.3	4.0488	16.092	1986315.1	1.5713	16.147	8062069.5	11.0464	16.357	8662173.7	3.909	16.168	11288512.3	14.1798	16.07	77442.3	0.2905	16.067	161289.3	0.2971	16.058	171.5	0.0009	16.603	14733.5	0.0622	16.076	53161.4	0.1582
17.435	19305151.5	34.0552	16.283	666798.7	0.7771	16.292	1680392.5	0.9835	16.323	4364696.7	3.6285	16.579	13325.6	0.0132	16.573	8380.1	0.0186	16.334	5797940.4	3.7186	16.274	724404.1	1.1609	16.585	5636.5	0.0056	16.294	1642768.2	1.7234	16.319	3271402.8	3.89	16.302	2207262.1	1.9936	16.296	1926926.8	2.4291	16.28	1079635.9	2.3294	16.289	1386272.7	2.0897	16.29	1344928.9	1.0639	16.306	2041880	2.7977	16.626	394603.6	0.1781	16.338	4559907.6	5.7278	16.29	58837.8	0.2207	16.274	518427.1	0.9551	16.602	11295.6	0.0573	16.681	11245.5	0.0475	16.287	77465.8	0.2306
17.529	4636588.7	8.1792	16.612	586089.6	0.6831	16.608	406625.8	0.238	16.584	20420.3	0.017	16.683	1378	0.0014	16.678	1414.3	0.0031	16.605	238052.1	0.1527	16.576	12005.9	0.0192	17.515	44279691.4	44.0759	16.587	23068.3	0.0242	16.585	10322.7	0.0123	16.612	359536.7	0.3247	16.604	63725.8	0.0803	16.581	13865.9	0.0299	16.584	14254.7	0.0215	16.595	25729.4	0.0204	16.604	46838.5	0.0642	16.982	1792.9	0.0008	16.593	12789.6	0.0161	16.602	18503.9	0.0694	16.581	13002.6	0.024	16.681	10994	0.0558	16.945	223451.8	0.9435	16.599	13796.9	0.0411
18.066	2342295.3	4.1319	16.842	4648.7	0.0054	16.688	1973	0.0012	16.916	1688.5	0.0014	17.232	5378.4	0.0053	16.908	1839.4	0.0041	16.963	2816.2	0.0018	16.682	1684	0.0027	17.58	3733157	3.716	16.814	1947.8	0.002	16.815	2249.5	0.0027	17	28864.4	0.0261	16.968	13857.6	0.0175	16.683	1156.4	0.0025	16.688	1081.7	0.0016	16.921	1284.1	0.001	16.956	18158	0.0249	17.179	12534.4	0.0057	16.927	7357.3	0.0092	16.683	6461.6	0.0242	16.685	3348.7	0.0062	16.93	211956.8	1.0749	17.024	36972.8	0.1561	16.684	4052.2	0.0121
18.366	48322.2	0.0852	16.972	47718.1	0.0556	16.966	3834.6	0.0022	17.235	8077.6	0.0067	17.483	34836194.1	34.5802	17.417	16438408.3	36.456	17.531	49459647.9	31.7219	16.918	2741.1	0.0044	18.158	12851635.1	12.7925	16.97	21589.9	0.0227	16.986	38281.9	0.0455	17.155	9167.8	0.0083	17.212	10643.1	0.0134	16.915	8149.4	0.0176	16.951	8787.4	0.0132	17.155	1788.6	0.0014	17.18	24443.6	0.0335	17.635	94543234.5	42.6644	17.174	12054.9	0.0151	16.929	127095.1	0.4767	16.932	8025.8	0.0148	17.006	22910.6	0.1162	17.18	417616.9	1.7634	16.932	37627.1	0.112
