Compounds	MW	BBIM01	BBIM02	BBIM03	BBIM04	BBIM05	BBIM06	BBIM07	BBIM08	BBIM09	BBIM10	BBIM11	BBIM12	BBIM13	BBIM14	BBIM15	BBIM16	BBIM17	BBIM18	BBIM19	BBIM20	BBIM21	BBIM22	BBIM23	BBIM24
Hexadecenal	238	15.424	15.447	15.49	15.437	15.397	15.405	15.459	15.418	15.433	15.447	15.438	15.447	15.43	15.409	15.425	15.462	15.404	15.499	15.423	15.415	15.416	15.387	15.382	15.414
Hexdecanal	240	15.62	15.625	15.673	15.63	15.601	15.602	15.652	15.612	15.629	15.619	15.623	15.625	15.629	15.614	15.621	15.65	15.602	15.671	15.616	15.613	15.632	15.599	15.594	15.609
Hexadecenol	240	16.073	16.077	16.091	16.131	16.111	16.086	16.13	16.075	16.139	16.127	16.152	16.133	16.102	16.079	16.101	16.092	16.147	16.162	16.168	16.07	16.067	16.058		16.076
Hexadecanol	242	16.274	16.283	16.292	16.323	16.305	16.275	16.334	16.274	16.313	16.294	16.319	16.302	16.296	16.28	16.289	16.29	16.306	16.357	16.338	16.29	16.274			16.287
Hexadecenol acetate	282	17.435	17.474	17.594	17.486	17.483	17.417	17.531	17.45	17.515	17.482	17.473	17.501	17.472	17.428	17.463	17.539	17.445	17.635	17.444	17.388	17.43	17.376	17.392	17.416
Hexadecanol acetate	284																						17.457	17.46	
Octadecenal	266	17.529	17.573	17.683	17.56	17.545	17.498	17.616	17.534	17.58	17.564	17.546	17.577	17.551	17.51	17.544	17.626	17.512	17.698	17.518	17.489	17.539	17.498	17.503	17.503
Octadecenol	268	18.066	18.092	18.141	18.135	18.16	18.078	18.171	18.076	18.158	18.134	18.124	18.145	18.108	18.071	18.107	18.116	18.137	18.201	18.124	18.044	18.047			18.059
Henicosane	296	18.366	18.377	18.391	18.379	18.379	18.363	18.387	18.367	18.383	18.376	18.374	18.386	18.374	18.367	18.374	18.38	18.377	18.411	18.376	18.369	18.372	18.37	18.371	18.367
Octadecenyl acetate	310	19.126	19.129	19.152	19.124	19.142	19.117	19.14	19.128	19.13	19.13	19.12	19.135	19.124	19.122	19.129	19.145	19.125	19.152	19.124	19.117	19.131	19.12	19.126	19.123
Docosane	310		19.207	19.202		19.221		19.199					19.207	19.199	19.195			19.199	19.22					19.179	19.2
Geranylgeranyl Acetate	332	20.192	20.208	20.235	20.274	20.234	20.162	20.277	20.197	20.176	20.225	20.189	20.243	20.216	20.175	20.19	20.265	20.206	20.286	20.209	20.145	20.191	20.132	20.132	20.146
