BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20																																								
RT	Area	RA																																																									
12.351	3651.9	0.016528399	12.695	1675.2	0.00395672	10.767	2799	0.005438148	10.766	4424	0.018622417	10.764	19804.4	0.055817417	10.769	7261.8	0.035920367	10.768	1784.1	0.011776138	10.768	5664.2	0.007261809	10.767	18210.9	0.06628712	10.763	2277.9	0.03258431	10.764	2768.6	0.023833006	10.763	16603.3	0.079174202	10.769	9415	0.022436158	10.768	3090.7	0.009192433	10.765	3136.3	0.019939669	10.764	13490.8	0.069982171	10.766	18449.7	0.087571543	10.763	6492.4	0.011779932	10.765	23484.4	0.023201811	10.759	4555.7	0.018246257
12.694	3526.8	0.0159622	13.322	5723	0.013517375	12.354	1097.8	0.002132904	13.282	2531.1	0.01065443	12.355	1209.8	0.003409743	13.269	1648.1	0.008152298	12.084	1685.4	0.011124658	12.08	1938.5	0.002485261	12.079	2380.9	0.008666403	12.079	1843.8	0.02637471	12.08	2123.1	0.018276333	12.078	1753.3	0.008360755	12.08	2267.7	0.00540398	12.079	2404.9	0.00715271	12.079	1891.9	0.012028141	12.079	2047.8	0.010622757	12.079	2328.4	0.011051756	12.074	2734.5	0.004961528	12.074	2501.1	0.002471004	12.074	1747.6	0.006999398
14.295	2767	0.012523366	14.294	1930.5	0.004559723	12.69	7689.8	0.014940433	13.321	2524.6	0.010627069	13.265	26531	0.074775903	13.326	8952.7	0.044284375	12.366	3351.4	0.022121265	12.694	5030.6	0.0064495	12.357	1466.2	0.005336923	12.353	1004.4	0.014367479	12.355	1302.3	0.01121062	12.358	1998.2	0.009528581	12.354	1258	0.002997842	12.352	1040.3	0.003094085	12.352	1132.9	0.007202643	12.356	1634.2	0.008477248	12.356	1596.6	0.007578266	12.347	1210	0.002195447	12.353	1832.3	0.001810252	12.346	1306.9	0.005234329
14.784	22169.4	0.100338094	14.784	145988.5	0.344815891	13.265	5319.2	0.010334619	14.296	2005.5	0.008441966	14.293	2018.1	0.005687884	14.302	1550.5	0.007669521	13.274	2181.8	0.014401198	13.269	6059.6	0.007768733	12.692	2837.5	0.010328413	12.687	5028.9	0.071936099	12.69	11224.9	0.096627576	12.688	1747.2	0.008331667	12.693	4380.2	0.010438116	12.692	3624.2	0.010779181	13.278	3443	0.021889577	12.688	1471.5	0.007633259	12.689	1538.9	0.007304392	12.688	2181	0.003957247	12.694	5412.5	0.005347371	13.257	4882.4	0.019554739
14.986	3548.4	0.016059961	14.985	13403.6	0.031658482	13.321	4930.2	0.009578835	14.761	53390.1	0.224740663	14.766	86768.2	0.244550544	14.758	3330.6	0.016474755	14.3	1682.7	0.011106837	14.802	275779.2	0.353563772	13.282	26344.8	0.095894267	13.259	4228.5	0.060486745	13.26	5853	0.05038452	13.262	16592.9	0.079124608	13.298	13904	0.033133547	13.321	9355	0.027823862	13.322	7018.6	0.044622185	13.264	18570.5	0.096332604	13.287	24184.3	0.114790835	13.269	2862.7	0.005194136	13.261	3494.4	0.003452352	14.752	53110.7	0.21271626
15.184	2742	0.012410216	15.069	2370.9	0.005599921	14.3	10251.8	0.019918117	14.974	8372.9	0.035244944	14.974	9523.6	0.026841649	14.974	34832.9	0.172300334	14.75	11995.7	0.079178868	14.994	21963.9	0.028158902	14.764	53878.1	0.196114638	14.742	3494.3	0.049984352	14.745	17076.4	0.146999184	14.753	40400.5	0.192653107	14.78	97714.7	0.232856344	14.771	61605.6	0.183228833	14.292	1504.8	0.009567074	13.325	1176.1	0.006100901	14.292	1670.5	0.007929032	13.316	4402.1	0.007987252	13.328	21564.1	0.021304618	14.967	6863.5	0.027489339
15.36	117868.5	0.533469584	15.36	298191.4	0.704309813	14.788	187807.8	0.364889845	15.358	230726	0.971219648	15.07	1124.7	0.003169894	15.076	4475.4	0.022137488	14.972	1688.6	0.01114578	15.072	5099.4	0.006537705	14.979	13555.8	0.049342698	14.964	8697	0.12440658	14.846	1067.9	0.009192829	14.969	9286.6	0.044283916	14.989	18292.2	0.043590727	14.983	8872.4	0.026388502	14.748	20472.9	0.13016065	14.293	1357.4	0.007041376	14.763	54572.4	0.259028021	14.797	250015.2	0.453632239	14.838	370973.3	0.366509355	15.298	1355.6	0.00542938
15.588	36242	0.164030294	15.46	3384.5	0.007993982	14.987	16445.8	0.031952376	15.459	3301.8	0.01389862	15.356	177262.5	0.499602859	15.307	1525.3	0.00754487	15.075	9978.3	0.065862809	15.354	4262.9	0.005465267	15.071	1902.5	0.006925042	15.072	1614.2	0.023090388	14.97	27744.4	0.238832785	15.07	1426.7	0.006803336	15.07	2046.1	0.004875903	15.07	1750	0.005204891	15.071	1105.8	0.00703035	14.753	39348	0.2041138	14.975	7372.4	0.034993113	14.987	18029.6	0.032713242	15.063	6732.5	0.006651487	15.349	95755.1	0.383513431
16.05	1358410.1	6.148126696	15.59	63964.9	0.151081174	15.072	4432.9	0.008612636	15.589	44935.2	0.189150547	15.459	3459.9	0.009751504	15.361	1516	0.007498868	15.308	12839.4	0.084747798	15.461	8545.2	0.010955406	15.304	2490.1	0.009063888	15.304	8289.8	0.118581771	15.072	1479.3	0.012734294	15.304	2329.6	0.011108889	15.303	2017	0.004806557	15.355	123814.8	0.368252908	15.304	2391.9	0.015206994	14.969	8206.9	0.04257247	15.07	1469.5	0.006974985	15.064	4023	0.007299406	15.35	53791	0.05314373	15.453	1002.6	0.004015562
