Compounds	MW	BEPH01	BEPH02	BEPH03	BEPH04	BEPH05	BEPH06	BEPH07	BEPH08	BEPH09	BEPH10	BEPH11	BEPH12	BEPH13	BEPH14	BEPH15	BEPH16	BEPH17	BEPH18	BEPH19	BEPH20
Pentadecane	212	14.784	14.784	14.788	14.761	14.766	14.758	14.75	14.802	14.764	14.742	14.745	14.753	14.78	14.771	14.748	14.753	14.763	14.797		14.752
Ethyl dodecenoate	226	14.986	14.985	14.987	14.974	14.974	14.974	14.972	14.994	14.979	14.964	14.97	14.969	14.989	14.983		14.969	14.975	14.987		14.967
Hexadecenal I	238	15.36	15.36	15.363	15.358	15.356	15.361	15.359	15.354	15.355	15.353	15.354	15.352	15.356	15.355	15.357	15.355	15.356	15.35	15.35	15.349
Hexadecenal II	238		15.46	15.459	15.459	15.459	15.464		15.461					15.461	15.459	15.46	15.46	15.459	15.455	15.455	15.453
Hexadecanal	240	15.588	15.59	15.593	15.589	15.589	15.595	15.593	15.589	15.589	15.589	15.589	15.588	15.589	15.589	15.59	15.589	15.588	15.584	15.585	15.583
Hexadecenol II	240	16.05	16.05	16.052	16.057	16.043	16.053	16.048	16.068	16.058	16.105	16.051	16.042	16.074	16.065	16.045	16.041	16.064	16.052	16.105	16.038
Hexadecenol II	240			16.192			16.199														
Hexadecanol	242	16.291	16.291	16.285	16.271	16.271	16.275	16.272	16.299	16.274	16.285	16.303	16.268	16.279	16.282	16.272	16.269	16.274	16.288	16.301	16.263
Nonadecane	268		16.427	16.427	16.422	16.423	16.428	16.425	16.429	16.423	16.42	16.421	16.421	16.425	16.424	16.422	16.421	16.421	16.421	16.427	16.416
Hexadecenyl acetate  I	282	17.111	17.111	17.117	17.104	17.112	17.086	16.962	17.121	17.115	16.959	17.05	17.112	17.112	17.116	16.949	17.07	17.109	17.107	17.115	17.102
Hexadecenyl acetate  II	282	17.241	17.242	17.294	17.274	17.178	17.188	17.132	17.284	17.18	17.116	17.123	17.213	17.293	17.262	17.101	17.18	17.193	17.306	17.225	17.198
Hexadecanol acetate	284	17.299	17.298	17.345		17.284	17.27			17.281					17.303	17.261	17.269	17.275		17.323	17.265
Icosanal 	296		17.723	17.731	17.713	17.72	17.716	17.706	17.752	17.717	17.702	17.706	17.713	17.727	17.727	17.704	17.712	17.709	17.724		17.705
Heneicosane	296	18.837	18.835	18.861	18.804	18.823	18.799	18.764	18.898	18.82	18.78	18.83	18.804	18.841	18.813	18.751	18.797	18.788	18.841	18.889	18.799
Octadecanol	270	19.009	19.01	19.015	18.979	18.987	18.982	18.999	19.008	18.985	18.983	18.988	18.979	19	18.989	18.969	18.975	18.972	19.008	18.919	18.972
Octadecenyl acetate	310	19.27	19.269	19.273	19.265	19.266	19.269	19.266	19.282	19.267		19.264	19.265	19.27	19.266	19.261	19.264	19.263	19.267	19.28	19.259
Docosane	310	19.344	19.343	19.348	19.336	19.339	19.341	19.334	19.369	19.339	19.332	19.336	19.337	19.345	19.343	19.331	19.335	19.335	19.342	19.366	19.33
Octadecyl acetate	312						19.687		19.689	19.669				19.674	19.677			19.693		19.677	
Tricosene	322	19.915	19.915	19.918	19.91	19.912	19.916	19.91	19.929	19.913	19.908	19.91	19.911	19.915	19.913	19.908	19.91	19.909	19.913	19.927	19.906
Tricosane	324	20.16	20.161	20.165	20.15	20.166	20.155	20.145	20.167	20.149	20.128	20.133	20.148	20.157	20.138	20.145	20.154	20.148	20.166	20.179	20.159
Tetracosane	338	20.96	20.959	20.962	20.957	20.958	20.963	20.957	20.968	20.958	20.956	20.957	20.957	20.959	20.958	20.956	20.957	20.956	20.956	20.964	20.952
Pentacosene I	350	21.567	21.566	21.568	21.563	21.565	21.569	21.563	21.57	21.564	21.559	21.561	21.564	21.564	21.561	21.561	21.563	21.563	21.562	21.568	21.565
Pentacosene II	350	21.62	21.619	21.622	21.618	21.618	21.624	21.618	21.625	21.619	21.615	21.616	21.617	21.619	21.617	21.616	21.617	21.617	21.617	21.623	21.615
Pentacosane	352	21.77	21.77	21.773	21.764	21.77	21.771	21.763	21.776	21.764	21.754	21.758	21.763	21.767	21.759	21.762	21.766	21.762	21.769	21.775	21.766
Hexacosene I	364	22.339	22.34	22.341	22.339	22.338	22.344	22.34	22.344	22.339	22.339	22.338	22.338	22.339	22.338	22.337	22.339	22.338	22.335	22.339	22.333
Hexacosane	366	22.521	22.521	22.523	22.52	22.52	22.526	22.521	22.525	22.521	22.52	22.52	22.52	22.52	22.52	22.52	22.52	22.519	22.517	22.52	22.515
