BFLA01	BFLA02	BFLA03	BFLA04	BFLA05	BFLA06	BFLA07	BFLA08	BFLA09	BFLA10	BFLA11																						
RT	Area	RA																														
15.664	4811591.6	5.52	15.632	1780689	5.31	15.665	4933540.8	8.38	15.664	4811591.6	5.39	15.669	5316856	10.27	15.657	3924098.5	7.82	15.668	5202620.2	8.9	15.655	3769254.6	9.37	15.63	1646968.4	4.43	15.666	4934373.5	10.5	15.649	3203383	4.88
16.356	8366307.6	9.59	16.298	2071191.1	6.18	16.309	2779186.5	4.72	16.356	8366307.6	9.38	16.317	3473492.6	6.71	16.335	5426009.4	10.81	16.344	6470731.9	11.07	16.302	2276740.7	5.66	16.33	4987082.1	13.42	16.321	3910053.6	8.32	16.319	3737324.6	5.69
16.597	171611.7	0.2	16.583	132572.7	0.4	16.587	225570.8	0.38	16.597	171611.7	0.19	16.588	174382.4	0.34	16.591	183148.4	0.36	16.594	171502.6	0.29	16.584	137749.5	0.34	16.589	98269.7	0.26	16.589	147001	0.31	16.588	179680.3	0.27
17.356	14585.4	0.02	16.903	198362	0.59	16.945	587301	1	16.938	441547.5	0.49	16.942	588349.7	1.14	16.927	438148.7	0.87	16.935	520348.1	0.89	16.91	263365.4	0.66	16.931	469038.8	1.26	16.943	661709.1	1.41	16.945	589223	0.9
17.498	16273.8	0.02	17.112	404369.3	1.21	17.174	1617552.6	2.75	17.178	1578425.9	1.77	17.161	1303916.5	2.52	17.151	1123568.2	2.24	17.143	860502.9	1.47	17.137	935523.2	2.33	17.145	1009559.6	2.72	17.162	1319780.1	2.81	17.161	1151952.6	1.75
17.656	64971.7	0.07	17.17	1025784.3	3.06	17.354	6636.8	0.01	17.356	14585.4	0.02	17.355	12306.3	0.02	17.354	3283	0.01	17.355	6734.4	0.01	17.352	6411.8	0.02	17.354	5773.1	0.02	17.355	6164.7	0.01	17.355	4516.8	0.01
18.141	128159.4	0.15	17.376	1217844.5	3.63	17.505	14220.1	0.02	17.498	16273.8	0.02	17.501	22301.4	0.04	17.499	34042.9	0.07	17.498	22524.8	0.04	17.496	12898.3	0.03	17.497	18443.9	0.05	17.499	20762.2	0.04	17.497	13481.2	0.02
18.196	789337.2	0.91	17.496	49801.6	0.15	17.655	80819.4	0.14	17.656	64971.7	0.07	17.655	91146.4	0.18	17.654	80836.6	0.16	17.656	74415.6	0.13	17.653	55322.2	0.14	17.653	34400.8	0.09	17.655	76921.9	0.16	17.655	36902.7	0.06
18.28	683253.9	0.78	17.655	82493.4	0.25	18.14	248825.7	0.42	18.141	128159.4	0.14	18.137	103705.9	0.2	18.136	82433.5	0.16	18.14	32829.4	0.06	18.134	71168.3	0.18	18.134	22636.1	0.06	18.134	41997.8	0.09	18.14	41693.9	0.06
18.402	1283648.4	1.47	18.132	7048.2	0.02	18.191	296958.7	0.5	18.196	789337.2	0.88	18.19	276433.9	0.53	18.188	229018.6	0.46	18.197	339851.1	0.58	18.186	195425.7	0.49	18.188	197805.3	0.53	18.187	165658.8	0.35	18.197	866624.6	1.32
18.462	1111879	1.28	18.213	283697.9	0.85	18.215	196263.6	0.33	18.28	683253.9	0.77	18.213	162239.4	0.31	18.212	167505	0.33	18.222	460484.6	0.79	18.212	173853.2	0.43	18.214	202248	0.54	18.212	135590.5	0.29	18.282	719406.8	1.1
18.95	7873413.2	9.03	18.265	124280	0.37	18.272	332440.3	0.56	18.402	1283648.4	1.44	18.272	303851	0.59	18.269	260158.1	0.52	18.278	525591.7	0.9	18.268	230754.8	0.57	18.269	257643.1	0.69	18.268	223058.5	0.47	18.398	948185.6	1.44
19.143	352240	0.4	18.373	98049.2	0.29	18.396	1230294.4	2.09	18.462	1111879	1.25	18.393	1001016	1.93	18.395	1222535	2.44	18.388	514879.7	0.88	18.385	637108.2	1.58	18.379	345924.7	0.93	18.385	623861.3	1.33	18.463	1217414.5	1.85
19.295	11929200.4	13.68	18.439	188398.7	0.56	18.45	571086.6	0.97	18.95	7873413.2	8.82	18.45	469277.3	0.91	18.447	402518.2	0.8	18.455	846513.8	1.45	18.444	363537.4	0.9	18.444	363038.3	0.98	18.444	336537.9	0.72	18.944	6058986.5	9.22
