Compounds	MW	BFLA01	BFLA02	BFLA03	BFLA04	BFLA05	BFLA06	BFLA07	BFLA08	BFLA09	BFLA10	BFLA11
Hexadecanal	240	15.664	15.632	15.665	15.664	15.669	15.657	15.668	15.655	15.630	15.666	15.649
Hexadecenol	240	16.356	16.298	16.309	16.356	16.317	16.335	16.344	16.302	16.330	16.321	16.319
Farnesyl acetone	262	16.597	16.583	16.587	16.597	16.588	16.591	16.594	16.584	16.589	16.589	16.588
Ethyl hexadecenoate	282	17.356	17.376	17.354	17.356	17.355	17.354	17.355	17.352	17.354	17.355	17.355
Ethyl hexadecanoate	284	17.498	17.496	17.505	17.498	17.501	17.499	17.498	17.496	17.497	17.499	17.497
Icosanal ?	296	17.656	17.655	17.655	17.656	17.655	17.654	17.656	17.653	17.653	17.655	17.655
Heneicosene	294	18.141	18.132	18.140	18.141	18.137	18.136	18.140	18.134	18.134	18.134	18.140
Heneicosene	294	18.196	0.000	18.191	18.196	18.190	18.188	18.197	18.186	18.188	18.187	18.197
Geranyl geraniol	290	18.280	18.265	18.272	18.280	18.272	18.269	18.278	18.268	18.269	18.268	18.282
Heneicosane	296	18.402	18.373	18.396	18.402	18.393	18.395	18.388	18.385	18.379	18.385	18.398
Geranyl citronellol	292	18.950	18.894	18.928	18.950	18.926	18.929	18.933	18.921	18.919	18.919	18.944
Ethyl octadecanoate	312	19.143	19.052	19.100	19.143	19.090	19.075	19.111	19.077	19.073	19.074	19.139
Geranylgeranial 	288	19.295	19.251	19.252	19.295	19.254	19.241	19.276	19.242	19.251	19.241	19.294
Geranylgeranial	288	19.585	19.500	19.517	19.585	19.521	19.500	19.554	19.505	19.524	19.506	19.583
Geranyl citronellyl acetate	334	19.799	19.781	19.805	19.799	19.786	19.783	19.774	0.000	0.000	19.773	19.776
Tricosene	322	20.166	20.165	20.213	20.166	20.194	20.200	20.188	20.192	20.170	20.202	20.201
Tricosane	324	20.233	20.691	0.000	20.233	0.000	0.000	20.709	20.705	20.699	20.709	20.710
Tetracosene II	336	20.775	20.730	20.770	20.775	20.767	20.766	20.767	20.765	20.762	20.767	20.769
Tetracosene II	336	20.929	20.918	20.925	20.929	20.922	20.920	20.923	20.919	20.916	20.920	20.924
Tetracosane	338	20.976	20.968	20.973	20.976	20.972	20.971	20.972	20.970	20.969	20.971	20.973
Pentacosadiene	348	21.412	21.401	21.410	21.412	21.408	21.407	21.407	21.403	21.401	21.406	21.408
Pentacosene	350	0.000	0.000	0.000	0.000	21.550	21.550	0.000	0.000	0.000	0.000	21.548
Pentacosene	350	21.610	21.580	21.603	21.610	21.591	21.592	21.584	21.587	21.580	21.591	21.587
Pentacosane	352	21.808	21.777	21.798	21.808	21.787	21.790	21.784	21.783	21.777	21.796	21.793
Heptacosene I	378	23.056	23.050	23.055	23.056	23.054	23.054	23.052	23.049	23.049	23.051	23.054
Heptacosene II	378	23.115	23.106	23.113	23.115	23.110	23.108	23.106	23.103	23.104	23.109	23.109
Heptacosene III	NA	0.000	23.156	0.000	0.000	0.000	0.000	23.156	23.153	23.157	0.000	0.000
Heptacosane	380	23.292	23.276	23.291	23.292	23.285	23.286	23.283	23.278	23.277	23.289	23.291
Hexadecyl decanoate	396	23.827	23.792	23.813	23.827	23.814	23.819	23.811	23.806	23.800	23.811	23.812
Nonacosene	406	24.464	24.462	24.465	24.464	24.464	24.463	24.463	24.459	24.461	24.463	24.464
Nonacosene	406	24.531	24.527	24.532	24.531	24.530	24.529	24.527	24.524	24.525	24.530	24.530
Nonacosane	408	24.681	24.670	24.678	24.681	24.674	24.676	24.674	24.673	24.672	24.676	24.677
Hexadecyl dodecenoate	422	0.000	25.082	0.000	25.063	25.057	25.060	0.000	25.057	0.000	0.000	0.000
Hexadecyl dodecanoate	424	25.161	25.141	25.157	25.161	25.156	25.152	25.154	25.147	25.144	25.151	25.150
Geranyl citronellyl decanoate	446	25.437	25.432	25.435	25.437	25.435	25.435	25.436	25.434	25.433	25.434	25.436
Hentriacontadiene	432	25.674	25.670	25.672	25.674	25.672	25.672	25.673	25.671	25.671	25.671	25.674
Hexadecyl tetradecanoate	452	25.852	25.849	25.852	25.852	25.849	25.849	25.851	25.849	25.849	25.851	25.851
Geranylcitronellyl dodecanoate	474	26.402	26.398	26.401	26.402	26.402	26.401	26.403	26.400	26.400	26.401	26.402
Hexadecyl hexadecenoate	478	27.574	27.565	27.567	27.574	27.568	27.567	27.573	27.565	27.567	27.573	27.574
Hexadecyl hexadecanoate	480	27.651	27.639	27.644	27.651	27.647	27.650	27.649	27.646	27.643	27.650	27.644
Hexadecyl octadecenoate	506	28.991	28.980	28.988	28.991	28.988	28.992	28.989	28.990	28.985	28.990	28.992
Hexadecyl octadecatrienoate	502	29.101	29.098	29.100	29.101	29.099	29.105	29.103	29.102	29.098	29.100	29.100
Geranylcitronellyl hexadecenoate	528	29.458	29.453	29.459	29.458	29.458	29.461	29.458	29.455	29.458	29.457	29.461
Geranylcitronellyl hexadecanoate	530	29.552	29.546	29.553	29.552	29.552	29.554	29.552	29.553	29.549	29.550	29.554
